product_id,product_name,category,subcategory,brand,price,cost,weight_kg,dimensions_cm,color,material,stock_quantity,supplier,launch_date,discontinued
P123,Premium Vanilla Ice Cream,Frozen Desserts,Ice Cream,CoolTreats,25.99,12.50,1.5,20x15x10,White,Dairy,150,Supplier A,2023-01-15,No
P234,Artisan Chocolate Gelato,Frozen Desserts,Gelato,GourmetIce,29.99,,1.2,18x12x8,Brown,Dairy,85,Supplier B,2023-02-20,No
P456,Classic Strawberry Sorbet,Frozen Desserts,Sorbet,FreshFruit,12.50,6.25,0.8,15x10x6,Pink,Fruit,200,,2023-03-10,No
P567,Mini Ice Cream Sandwiches,Frozen Desserts,Novelty,CoolTreats,8.99,4.50,0.6,12x8x4,Mixed,Dairy,300,Supplier A,2023-04-05,No
P678,Gourmet Pistachio Gelato,Frozen Desserts,Gelato,GourmetIce,22.50,11.25,1.0,,Green,Dairy,60,Supplier B,2023-05-12,No
P789,Organic Mango Sorbet,Frozen Desserts,Sorbet,OrganicFresh,18.99,9.50,0.9,16x11x7,Orange,Fruit,120,Supplier C,2023-06-18,No
P890,Double Chocolate Chip,Frozen Desserts,Ice Cream,CoolTreats,15.99,8.00,1.4,19x14x9,Dark Brown,Dairy,180,Supplier A,,No
P901,Lemon Lime Popsicles,Frozen Desserts,Popsicle,FreshFruit,19.99,10.00,0.5,10x6x3,Yellow,Fruit,250,Supplier D,2023-08-20,No
P345,Salted Caramel Premium,Frozen Desserts,Ice Cream,PremiumBrand,45.00,22.50,2.0,25x18x12,Caramel,Dairy,45,Supplier E,2023-09-15,No
P111,Coconut Water Popsicle,Frozen Desserts,Popsicle,,9.75,4.88,0.4,8x5x2,Clear,Coconut,180,Supplier D,2023-10-10,No
P222,Mint Chocolate Chip,Frozen Desserts,Ice Cream,CoolTreats,null,7.50,1.3,18x13x8,Green,Dairy,160,Supplier A,2023-11-05,No
P333,Ruby Red Grapefruit Sorbet,Frozen Desserts,Sorbet,FreshFruit,14.99,7.50,0.7,14x9x5,Red,Fruit,90,Supplier C,2023-12-01,No
P444,Birthday Cake Ice Cream,Frozen Desserts,Ice Cream,CelebrationBrand,32.99,16.50,1.8,22x16x11,Rainbow,Dairy,70,,2024-01-15,No
P555,Espresso Gelato,Frozen Desserts,Gelato,GourmetIce,26.99,13.50,1.1,17x13x8,Dark Brown,Dairy,55,Supplier B,2024-02-20,No
P666,,Frozen Desserts,Popsicle,HealthyChoice,11.99,6.00,0.3,9x6x2,Purple,Fruit,220,Supplier F,2024-03-10,No
P777,Cookies and Cream,Frozen Desserts,Ice Cream,CoolTreats,21.99,11.00,1.6,21x15x10,Black/White,Dairy,140,Supplier A,2024-04-05,No
P888,Passion Fruit Sorbet,Frozen Desserts,Sorbet,ExoticFlavors,16.99,8.50,,15x11x6,Orange,Fruit,100,Supplier G,2024-05-12,No
P999,Rocky Road Supreme,Frozen Desserts,Ice Cream,PremiumBrand,38.99,19.50,2.2,24x17x13,Brown,Dairy,35,Supplier E,2024-06-18,No
P000,Watermelon Popsicle,Frozen Desserts,Popsicle,SummerFresh,7.99,4.00,0.4,10x7x3,Red,Fruit,280,Supplier H,,No
P011,Vanilla Bean Gelato,Frozen Desserts,Gelato,GourmetIce,24.99,12.50,1.2,18x13x8,Cream,Dairy,65,Supplier B,2024-08-20,Yes
P022,Lime Sherbet,Frozen Desserts,Sherbet,CitrusBurst,13.99,,0.8,14x10x6,Green,Dairy,150,Supplier I,2024-09-15,No
P033,Neapolitan Classic,Frozen Desserts,Ice Cream,ClassicBrand,18.99,9.50,1.5,20x15x10,Tri-color,Dairy,110,Supplier J,2024-10-10,No
P044,Pomegranate Popsicle,Frozen Desserts,Popsicle,SuperFruit,12.99,6.50,0.35,9x6x2,Deep Red,Fruit,190,Supplier K,2024-11-05,No
P055,Butter Pecan Premium,Frozen Desserts,Ice Cream,PremiumBrand,41.99,21.00,2.1,23x17x12,Golden,Dairy,40,Supplier E,,No
P066,Green Tea Mochi Ice Cream,Frozen Desserts,Specialty,AsianFusion,33.99,17.00,0.9,12x10x8,Green,Rice/Dairy,75,Supplier L,2024-12-20,No
